feature,permutation_norm,shap_norm,consensus
bw_dev_headroom_pct,0.31971134773763843,0.12466419022627205,0.22218776898195525
t_since_ramp_min,0.14116548119704256,0.13970046621590113,0.14043297370647184
transition_magnitude,0.12850424376858643,0.06418101416050653,0.09634262896454648
plan_trim_enabled,0.07637912418946315,0.03197912456491408,0.05417912437718861
plan_ramp_min,0.06792193008382769,0.034619156954140105,0.0512705435189839
ramp_progress,0.04122493698862465,0.04994013281431664,0.04558253490147064
mv_stock_flow_remaining_frac,0.026326255308016015,0.04145417191750905,0.03389021361276254
plan_tau_c_scale,0.0168593754703751,0.041916887747375474,0.02938813160887529
bw_abs_dev_pct,0.01678605933747547,0.036813142263380436,0.026799600800427953
dv_headbox_consistency_roc_2min,0.026565984179983494,0.01461379321434303,0.020589888697163262
dv_headbox_consistency,0.020476982144224942,0.018408023155464606,0.019442502649844776
plan_lead_scale,-0.001028163512509515,0.035240093405129326,0.017105964946309907
mv_stock_flow_remaining,0.010400008811432077,0.018912897985792293,0.014656453398612185
bw_change_pct,0.006483115856079082,0.020764957819276834,0.013624036837677957
mv_machine_speed_remaining_frac,0.0058958538094226924,0.02060767594410995,0.01325176487676632
post_ramp,0.004306457652214355,0.019370194127706672,0.011838325889960514
mv_steam_pressure,7.35893504366888e-05,0.017339969457274586,0.008706779403855638
bw_dev_max_2min,0.007141158082376837,0.01017107033057354,0.008656114206475189
mv_machine_speed_remaining,0.0037571848411899656,0.012955972617299222,0.008356578729244593
dv_white_water_freeness,0.0023778506717439317,0.013539176118014105,0.007958513394879019
mv_machine_speed_slew_util,0.0016644280321135559,0.011838548680496936,0.006751488356305246
mv_machine_speed,0.002448591859201997,0.010899738355546033,0.006674165107374015
ash_change,0.002425663397040769,0.0101409602566877,0.006283311826864235
mv_machine_speed_roc_1min,0.0031622130963699143,0.009034476617873086,0.0060983448571215
moisture_change,0.003890796338564228,0.007183598814512761,0.005537197576538495
mv_filler_flow,0.003533801430505687,0.00726494082842543,0.005399371129465558
dv_steam_header_kpa,-0.0014274346702731538,0.012048660225553474,0.00531061277764016
mv_filler_flow_remaining_frac,0.002757178882935332,0.00728034302041574,0.005018760951675536
bw_dev_projected_abs,0.004205621147299986,0.005599243517629437,0.004902432332464712
ramp_deficit_min,0.0009894569649094513,0.008310309741557545,0.004649883353233498
dv_wire_drainage_index,-0.0018475547865984517,0.009757901629231033,0.00395517342131629
dv_couch_vacuum,0.0001806202773227916,0.006367062588592159,0.0032738414329574754
bw_roc_1min,7.611512413261483e-05,0.006457298321436744,0.003266706722784679
mv_filler_flow_slew_util,0.002602396547384926,0.0033851031971286237,0.002993749872256775
min_ramp_min,-0.0071480438354477056,0.013106084466462707,0.002979020315507501
mv_stock_flow_slew_util,0.001509448669973656,0.004411101338495575,0.0029602750042346153
dv_broke_ratio,0.0009247408921207558,0.004720353329145143,0.0028225471106329493
dv_refiner_sec,-0.0007040382414812242,0.005776888326887548,0.002536425042703162
bw_from,-0.0028287240171856647,0.007569076071073629,0.002370176026943982
dv_ambient_humidity,6.881457855043531e-05,0.004646892355653821,0.0023578534671021283
bw_sp_roc_1min,0.0022157667455193083,0.0024245968762254223,0.002320181810872365
